id,host_id,host_is_superhost,host_listings_count,property_type,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month
420146,2089352,FALSE,1,Private room in loft,Private room,$60.00,1,337,4.47,3.01
423767,1981478,FALSE,1,Entire rental unit,Entire home/apt,$140.00,3,161,4.78,1.65
426097,1878243,TRUE,3,Private room in rental unit,Private room,$59.00,5,15,4.93,0.4
429750,2136473,TRUE,4,Entire rental unit,Entire home/apt,$175.00,2,45,4.71,0.51
431287,2138358,FALSE,2,Entire rental unit,Entire home/apt,$89.00,2,223,4.81,2.15
441868,2193613,TRUE,2,Entire rental unit,Entire home/apt,$185.00,3,357,4.96,3.41
442154,2196999,TRUE,4,Entire residential home,Entire home/apt,$120.00,2,135,4.81,1.52
452870,283131,FALSE,6,Entire rental unit,Entire home/apt,$221.00,3,124,4.85,1.26
463737,2304427,FALSE,2,Private room in residential home,Private room,$73.00,2,23,4.78,0.21
474357,2351876,FALSE,3,Entire residential home,Entire home/apt,$450.00,2,53,4.38,0.5
476112,2360430,FALSE,1,Entire rental unit,Entire home/apt,$234.00,3,152,4.59,1.42
482466,2368512,TRUE,2,Entire rental unit,Entire home/apt,$95.00,3,58,4.88,2.26
485892,2404710,TRUE,1,Entire loft,Entire home/apt,$100.00,3,120,4.93,1.11
487484,2412054,FALSE,1,Entire townhouse,Entire home/apt,$165.00,3,62,4.73,0.61
487634,2320717,TRUE,1,Entire rental unit,Entire home/apt,$392.00,1,159,4.82,1.46
487772,2413479,FALSE,1,Entire townhouse,Entire home/apt,$175.00,3,86,4.78,0.77
490781,2426720,FALSE,4,Entire condominium (condo),Entire home/apt,$174.00,3,16,4.25,0.2
492508,2434290,FALSE,1,Private room in bed and breakfast,Private room,$170.00,2,1,5,0.02
492781,2426720,FALSE,4,Entire condominium (condo),Entire home/apt,$174.00,3,15,4.69,0.14
492854,2426720,FALSE,4,Entire rental unit,Entire home/apt,$175.00,3,27,4.75,0.25
492901,6304868,FALSE,6,Entire rental unit,Entire home/apt,$290.00,2,17,4.41,0.16
493041,2426720,FALSE,4,Entire rental unit,Entire home/apt,$175.00,3,20,4.33,0.21
494629,1438903,FALSE,25,Entire rental unit,Entire home/apt,$360.00,7,56,4.8,0.61
495857,1509668,FALSE,5,Entire rental unit,Entire home/apt,$81.00,1,640,4.51,5.77
505177,3736168,FALSE,33,Entire serviced apartment,Entire home/apt,$281.00,1,170,4.63,1.82
509641,2508340,TRUE,17,Entire rental unit,Entire home/apt,$183.00,2,118,4.59,1.11
